measurement_id,segment_idx,start_time,end_time,state,binary_label,multiclass_label,phase,load_condition,experiment
short_circuit_1,0,2.00024,4.4,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,1,2.00504,4.4048,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,2,2.00984,4.4096,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,3,2.01464,4.4144,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,4,2.01944,4.4192,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,5,2.02424,4.424,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,6,2.02904,4.4288,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,7,2.03384,4.4336,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,8,2.03864,4.4384,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,9,2.04344,4.4432,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,10,2.04824,4.448,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,11,2.05304,4.4528,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,12,2.05784,4.4576,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,13,2.06264,4.4624,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,14,2.06744,4.4672,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,15,2.07224,4.472,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,16,2.07704,4.4768,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,17,2.08184,4.4816,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,18,2.08664,4.4864,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,19,2.09144,4.4912,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,20,2.09624,4.496,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,21,2.10104,4.5008,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,22,2.10584,4.5056,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,23,2.11064,4.5104,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,24,2.11544,4.5152,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,25,2.12024,4.52,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,26,2.12504,4.5248,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,27,2.12984,4.5296,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,28,2.13464,4.5344,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,29,2.13944,4.5392,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,30,2.14424,4.544,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,31,2.14904,4.5488,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,32,2.15384,4.5536,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,33,2.15864,4.5584,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,34,2.16344,4.5632,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,35,2.16824,4.568,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,36,2.17304,4.5728,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,37,2.17784,4.5776,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,38,2.18264,4.5824,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,39,2.18744,4.5872,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,40,2.19224,4.592,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,41,2.19704,4.5968,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,42,2.20184,4.6016,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,43,2.20664,4.6064,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,44,2.21144,4.6112,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,45,2.21624,4.616,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,46,2.22104,4.6208,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,47,2.22584,4.6256,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,48,2.23064,4.6304,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,49,2.23544,4.6352,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,50,2.24024,4.64,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,51,2.24504,4.6448,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,52,2.24984,4.6496,short_circuit,1,short_circuit,1,100,experiment_2
short_circuit_1,53,2.25464,4.6544,short_circuit,1,short_circuit,1,100,experiment_2
